,name,RGB,HSV,LAB,LCH,HEX
0,orange,"[255, 128, 0]",[30.117645   0.9999999  1.       ],"[67.05322265625, 42.828125, 74.015625]","[67.05322265625, 85.51351165771484, 59.94476318359375]",#ff8000
1,brown,"[165, 42, 42]",[0.         0.74545443 0.64705884],"[37.493896484375, 49.65625, 30.578125]","[37.493896484375, 58.316078186035156, 31.62459945678711]",#a52a2a
2,gray,"[128, 128, 128]",[0.        0.        0.5019608],"[53.582763671875, 0.0, 0.0]","[53.582763671875, 0.0, 0.0]",#808080
3,pink,"[255, 192, 203]",[3.4952380e+02 2.4705878e-01 1.0000000e+00],"[83.5205078125, 24.234375, 3.390625]","[83.5205078125, 24.470417022705078, 7.964537143707275]",#ffc0cb
4,magenta,"[255, 0, 255]",[300.          0.9999999   1.       ],"[60.321044921875, 98.234375, -60.828125]","[60.321044921875, 115.54242706298828, 328.2336120605469]",#ff00ff
5,yellow,"[255, 255, 0]",[59.999992   0.9999999  1.       ],"[97.137451171875, -21.546875, 94.46875]","[97.137451171875, 96.89485168457031, 102.8484878540039]",#ffff00
6,green,"[0, 255, 0]",[120.          0.9999999   1.       ],"[87.738037109375, -86.1875, 83.171875]","[87.738037109375, 119.7741470336914, 136.0200958251953]",#00ff00
7,red,"[255, 0, 0]",[0.        0.9999999 1.       ],"[53.240966796875, 80.09375, 67.203125]","[53.240966796875, 104.55270385742188, 39.9985237121582]",#ff0000
8,blue,"[0, 0, 255]",[240.          0.9999999   1.       ],"[32.293701171875, 79.1875, -107.859375]","[32.293701171875, 133.8069610595703, 306.2851257324219]",#0000ff
9,white,"[255, 255, 255]",[0. 0. 1.],"[100.0, 0.0, 0.0]","[100.0, 0.0, 0.0]",#ffffff
10,black,"[0, 0, 0]",[0. 0. 0.],"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",#000000
